артикул,файл,дата,мин. % наценки,название,цена на сайте,цена закупки,рекомендованная цена,минимальная цена конкурента,код поставщика,220 вольт,все инструменты,кувалда
42960,dewalt,20190702 12-13-10,5,Аккумулятор DeWalt DCB 181,2660,2110,2660,2660,DCB181-XJ,,,2660
42961,dewalt,20190702 12-13-10,5,Аккумулятор DeWalt DCB 183,3340,2640,3340,3340,DCB183-XJ,3340,3340,3340
42962,dewalt,20190702 12-13-10,5,Аккумулятор DeWalt DCB 184,5580,4406,5580,5580,DCB184-XJ,5580,5580,5580
42965,dewalt,20190702 12-13-10,5,Аккумулятор DeWalt DCB 546,10090,7813,10090,10090,DCB546-XJ,10090,10090,10090
42967,dewalt,20190702 12-13-10,5,Аккумулятор DeWalt DCB 547,12190,9599,12190,12190,DCB547-XJ,12190,12190,12190
62309,dewalt,20190702 12-13-10,5,Аккумуляторная воздуходувка DeWalt DCV 100 (без акб и зу),5680,4493,5680,5680,DCV100-XJ,,5680,5680
6916,dewalt,20190702 12-13-10,5,Аккумуляторная воздуходувка DeWalt DCM 562 P1-QW,15990,9126,15990,15990,DCM562P1-QW,,15990,15990
6917,dewalt,20190702 12-13-10,5,Аккумуляторная воздуходувка DeWalt DCM 562 PB-QW,8990,5703,8990,8990,DCM562PB-QW,,8990,8990
7216,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DC 725 КА,10419,9919,10419,,DС725КА,,,
7219,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DC 733 KL,12239,9834,12239,,DC733KL,,,
7222,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 700 C2,5579,4221,5579,,DCD700C2,,,
7223,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 710 C2,7590,6715,7389,7389,DCD710C2-KS,7549,7389,7590
25953,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 710 C2P (подарок мультитул),7590,6603,7549,7549,DCD710C2P-KS,7549,,
7224,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 710 D2,9090,7744,9019,9019,DCD710D2-KS,,9019,9090
7226,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 710 S2,8199,5737,8199,,DCD710S2,,,
7228,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 716 D2,8990,7938,8990,8990,DCD716D2-KS,,8990,8990
7233,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 732 D2,13309,11919,13309,,DCD732D2-QW,,,
7241,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 735 M2P,11129,10593,11129,,DCD735M2P,,,
7245,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 771 D2,9890,8739,9890,9890,DCD771D2-KS,10870,9890,9890
7245,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 771 D2,9890,8739,10589,10589,DCD776S2-KS,,10589,10990
7250,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 777 S2T,15490,13173,13831,13619,DCD777S2T-QW,13619,13899,15490
7215,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 777 S2TC (USB адаптер),15490,11197,15490,15490,DCD777S2TC-KS,,15490,
7251,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 778 S2T,16990,14052,15309,15309,DCD778S2T-QW,15309,15619,16990
25954,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 778 S2TC (USB адаптер),16990,11944,16990,16990,DCD778S2TC-KS,16990,16990,17269
7252,dewalt,20190702 12-13-10,5,Аккумуляторная дрель DeWalt DCD 780 C2,14290,12088,12692,12483,DCD780C2-QW,12483,,14290
